rhoc,Tc,R,M,L,Tsurf,StarNum
64.75162410736084,21000000.0,66576657699.18991,4.1489610784903314e+33,1.711701071257535e+35,15258.005091949834,20
47.40897808074951,22000000.0,78737873808.64087,4.994842889850549e+33,3.500653866420069e+35,16778.27160708665,21
33.983581733703616,23000000.0,100000000000.0,6.120025000741025e+33,7.190293149274204e+35,17823.312367720733,22
24.20284786224365,24000000.0,100000000000.0,7.546725996623486e+33,1.4609790925301723e+36,21279.56616181967,23
17.391980171203613,25000000.0,99129912992.16922,9.147974979198483e+33,2.930254037098653e+36,25434.64761208051,24
14.199088096618652,26000000.0,100000000000.0,1.0288618983202428e+34,6.12275619885372e+36,30446.579622261223,25
14.71948184967041,27000000.0,100000000000.0,1.07024684308835e+34,1.3955889232218124e+37,37410.296280639894,26
15.239875602722169,28000000.0,100000000000.0,1.1118810264613582e+34,3.085554411849375e+37,45617.87718127095,27
15.754550743103028,29000000.0,100000000000.0,1.154000370936408e+34,6.679768134150177e+37,55334.00642564014,28
16.26541347503662,30000000.0,100000000000.0,1.1961989556533904e+34,1.4043351333556007e+38,66629.94573039441,29
16.774370002746583,31000000.0,100000000000.0,1.2387298490583214e+34,2.8755350453959838e+38,79704.24192089727,30
17.277607917785645,32000000.0,100000000000.0,1.2817825090689918e+34,5.789641097302364e+38,94943.37809079228,31
17.77512722015381,33000000.0,100000000000.0,1.3251402716898203e+34,1.1384664328066245e+39,112429.90062797397,32
18.268834114074707,34000000.0,100000000000.0,1.3686928545798602e+34,2.1872990261177112e+39,132366.72056007502,33
18.756822395324708,35000000.0,100000000000.0,1.4128584927386471e+34,4.1362358332078456e+39,155221.93478056078,34
19.237185859680174,36000000.0,100000000000.0,1.457581275773496e+34,7.698264618906397e+39,181300.907566473,35
19.711830711364748,37000000.0,100000000000.0,1.5025434337654313e+34,1.404846855429722e+40,210721.58058484652,36
20.18266315460205,38000000.0,100000000000.0,1.547937866944756e+34,2.517674804813174e+40,243810.09164617446,37
20.643964576721192,39000000.0,100000000000.0,1.5940779942423008e+34,4.461449860220053e+40,281300.6744325942,38
21.095734977722167,40000000.0,100000000000.0,1.6408953169953166e+34,7.799563688165598e+40,323459.07961005875,39
21.539880561828614,41000000.0,100000000000.0,1.6881717716997341e+34,1.3419358875580663e+41,370454.3605347751,40
21.976401329040527,42000000.0,100000000000.0,1.73590999708888e+34,2.2742761211764157e+41,422680.84517112584,41
22.403391075134277,43000000.0,100000000000.0,1.7844928378486509e+34,3.813762658647583e+41,480994.58241357596,42
22.818943595886232,44000000.0,100000000000.0,1.8339653860250604e+34,6.339967005146858e+41,546164.5635926977,43
23.22496509552002,45000000.0,100000000000.0,1.8841203401006703e+34,1.0402362879732745e+42,618137.0415055704,44
23.61764316558838,46000000.0,100000000000.0,1.935005639511622e+34,1.685287197961317e+42,697381.2228313305,45
24.00460262298584,47000000.0,100000000000.0,1.98653600103797e+34,2.6988094558301928e+42,784503.3908130074,46
24.376312446594238,48000000.0,100000000000.0,2.0391888333106224e+34,4.2911710190377647e+42,880938.7728416122,47
24.732772636413575,49000000.0,100000000000.0,2.0930007339768554e+34,6.771400487541778e+42,987350.5999209643,48
25.07588939666748,50000000.0,100000000000.0,2.147804986322183e+34,1.0572769260941313e+43,1103694.702028348,49
25.40756893157959,51000000.0,100000000000.0,2.203483618741636e+34,1.6351651458283862e+43,1230813.283261411,50
25.723998832702637,52000000.0,100000000000.0,2.260305517222877e+34,2.5077420571790255e+43,1369690.631185183,51
